date,LHX,ENB,CRM,vwretd
2014-09-05,0.013387,0.004751,0.012356,0.004375
2014-09-08,-0.001980,-0.005122,0.009196,-0.002774
2014-09-09,-0.011481,0.012475,-0.011597,-0.006316
2014-09-10,0.001434,-0.002738,0.017432,0.003339
2014-09-11,0.008591,-0.008041,0.008402,0.001306
2014-09-12,-0.009512,-0.017201,-0.032021,-0.006588
2014-09-15,-0.011753,-0.005834,-0.028354,-0.002888
2014-09-16,0.010587,0.009915,0.000695,0.007016
2014-09-17,0.000861,-0.012222,-0.002777,0.000797
2014-09-18,0.007313,0.022718,0.003655,0.004516
2014-09-19,-0.005409,0.021817,0.010059,-0.002366
2014-09-22,-0.022470,-0.021545,-0.015797,-0.010079
2014-09-23,-0.006149,-0.012101,-0.008897,-0.005993
2014-09-24,0.005303,-0.013655,0.014962,0.007097
2014-09-25,-0.014068,-0.027484,-0.030177,-0.015547
2014-09-26,0.006540,0.009629,0.011445,0.008408
2014-09-29,-0.008269,0.001037,0.011846,-0.002422
2014-09-30,-0.011316,-0.008285,0.005242,-0.004091
2014-10-01,0.000000,-0.009190,-0.013906,-0.012931
2014-10-02,-0.005121,-0.011383,-0.001586,0.000775
2014-10-03,-0.007569,-0.005970,0.032133,0.009096
2014-10-06,0.003813,0.007293,-0.002737,-0.001582
2014-10-07,-0.016867,-0.011712,-0.023842,-0.014990
2014-10-08,0.011437,0.000215,0.017396,0.015855
2014-10-09,-0.027965,-0.017665,-0.013299,-0.021219
2014-10-10,-0.026883,-0.015570,-0.041309,-0.013333
2014-10-13,-0.006139,-0.030073,-0.028118,-0.015501
2014-10-14,0.004876,-0.011943,-0.009581,0.002321
2014-10-15,0.015529,0.017201,0.007018,-0.004483
2014-10-16,0.003345,0.031307,0.014692,0.003835
2014-10-17,0.019686,0.001994,0.032671,0.010813
2014-10-20,0.007940,0.011499,0.007190,0.009244
2014-10-21,0.028885,0.017271,0.021596,0.019230
2014-10-22,-0.009008,-0.024070,-0.017296,-0.008878
2014-10-23,0.011513,0.025105,0.028978,0.012270
2014-10-24,0.008387,0.005800,0.029198,0.006013
2014-10-27,0.009802,-0.005553,-0.007722,-0.002172
2014-10-28,0.005295,0.024055,0.040941,0.013743
2014-10-29,0.003072,-0.006921,-0.009101,-0.002246
2014-10-30,0.006126,-0.001478,0.012301,0.004987
2014-10-31,0.008988,0.001692,0.036779,0.011527
2014-11-03,0.007328,-0.011191,-0.006251,-0.000685
2014-11-04,0.005135,-0.021354,-0.000315,-0.004628
2014-11-05,0.003548,-0.002400,-0.026113,0.004889
2014-11-06,-0.000848,-0.012686,0.019060,0.003815
2014-11-07,0.001981,0.017058,0.013948,0.001998
2014-11-10,0.005085,-0.010673,0.007503,0.002723
2014-11-11,0.002389,0.014311,-0.006051,0.001120
2014-11-12,-0.004066,0.001689,-0.004527,0.000555
2014-11-13,-0.007461,-0.008726,-0.009566,-0.000944
2014-11-14,0.001560,-0.001540,0.011875,0.001335
2014-11-17,-0.003399,-0.005069,-0.021906,-0.000224
2014-11-18,0.012930,0.007311,-0.000640,0.005501
2014-11-19,0.000847,0.011656,-0.023211,-0.002373
2014-11-20,0.008606,0.009348,-0.044576,0.003302
2014-11-21,0.006434,0.003661,-0.001887,0.005330
2014-11-24,-0.012509,-0.002575,-0.001718,0.003182
2014-11-25,0.011260,0.010542,0.021518,-0.000384
2014-11-26,-0.003897,0.014903,-0.001854,0.002777
2014-11-28,0.001397,-0.035452,0.010805,-0.006097
2014-12-01,0.000698,-0.002827,-0.013195,-0.008988
2014-12-02,-0.016035,0.006979,0.002877,0.005867
2014-12-03,-0.002976,0.037037,-0.006245,0.005232
2014-12-04,0.005259,0.102757,0.001189,-0.002151
2014-12-05,0.008059,-0.031250,-0.001696,0.001463
2014-12-08,-0.000561,-0.042229,-0.041461,-0.009478
2014-12-09,-0.005473,0.009390,-0.004786,0.001715
2014-12-10,-0.016932,-0.029525,-0.014606,-0.017439
2014-12-11,0.013492,0.000417,0.002892,0.004078
2014-12-12,-0.021102,-0.022079,-0.007390,-0.015235
2014-12-15,-0.005208,-0.005538,0.006174,-0.007671
2014-12-16,-0.006254,0.004926,-0.029237,-0.005842
2014-12-17,0.023708,0.010017,0.059677,0.021789
2014-12-18,0.022016,0.019835,0.040877,0.021547
2014-12-19,0.019024,0.030002,0.008933,0.004613
2014-12-22,0.011531,0.004419,0.000000,0.003242
2014-12-23,-0.001628,0.009400,0.010692,0.002198
2014-12-24,0.000272,0.003170,-0.002810,0.000579
2014-12-26,0.002582,0.006913,0.007790,0.003668
2014-12-29,-0.006099,0.005492,-0.007401,0.001242
2014-12-30,-0.007364,0.002731,-0.015244,-0.004285
2014-12-31,-0.013326,0.000195,-0.002019,-0.008784
2015-01-02,-0.002785,-0.000778,-0.001180,-0.000242
2015-01-05,-0.026948,-0.038155,-0.018062,-0.018275
2015-01-06,-0.020089,-0.041692,-0.016675,-0.009661
2015-01-07,0.002636,-0.008448,-0.004720,0.011114
2015-01-08,0.022930,0.010650,0.029159,0.016844
2015-01-09,-0.001428,-0.014752,-0.007339,-0.007545
2015-01-12,-0.015156,-0.023743,-0.007393,-0.007783
