PERMNO,date,vwretd
25582,2016-06-15,-0.000492
25582,2016-06-16,0.001908
25582,2016-06-17,-0.001748
25582,2016-06-20,0.007279
25582,2016-06-21,0.002334
25582,2016-06-22,-0.001865
25582,2016-06-23,0.014415
25582,2016-06-24,-0.036628
25582,2016-06-27,-0.020320
25582,2016-06-28,0.018043
25582,2016-06-29,0.017600
25582,2016-06-30,0.013181
25582,2016-07-01,0.003010
25582,2016-07-05,-0.008225
25582,2016-07-06,0.005437
25582,2016-07-07,-0.000690
25582,2016-07-08,0.015478
25582,2016-07-11,0.004210
25582,2016-07-12,0.007923
25582,2016-07-13,-0.000232
25582,2016-07-14,0.004685
25582,2016-07-15,-0.000803
25582,2016-07-18,0.002602
25582,2016-07-19,-0.002363
25582,2016-07-20,0.004629
25582,2016-07-21,-0.003322
25582,2016-07-22,0.004500
25582,2016-07-25,-0.003154
25582,2016-07-26,0.001613
25582,2016-07-27,-0.001242
25582,2016-07-28,0.001673
25582,2016-07-29,0.002630
25582,2016-08-01,-0.002254
25582,2016-08-02,-0.007105
25582,2016-08-03,0.004385
25582,2016-08-04,0.000814
25582,2016-08-05,0.008058
25582,2016-08-08,0.000104
25582,2016-08-09,0.001069
25582,2016-08-10,-0.002555
25582,2016-08-11,0.004818
25582,2016-08-12,-0.000494
25582,2016-08-15,0.004008
25582,2016-08-16,-0.005477
25582,2016-08-17,0.001044
25582,2016-08-18,0.003387
25582,2016-08-19,-0.001828
25582,2016-08-22,-0.000427
25582,2016-08-23,0.002825
25582,2016-08-24,-0.006035
25582,2016-08-25,-0.000675
25582,2016-08-26,-0.001829
25582,2016-08-29,0.005225
25582,2016-08-30,-0.001514
25582,2016-08-31,-0.002578
25582,2016-09-01,0.000748
25582,2016-09-02,0.005882
25582,2016-09-06,0.003391
25582,2016-09-07,0.000821
25582,2016-09-08,-0.002078
25582,2016-09-09,-0.025010
25582,2016-09-12,0.013340
25582,2016-09-13,-0.015849
25582,2016-09-14,-0.000526
25582,2016-09-15,0.010099
25582,2016-09-16,-0.003865
25582,2016-09-19,0.001385
25582,2016-09-20,-0.000363
25582,2016-09-21,0.011864
25582,2016-09-22,0.007814
25582,2016-09-23,-0.005940
25582,2016-09-26,-0.008221
25582,2016-09-27,0.005100
25582,2016-09-28,0.006710
25582,2016-09-29,-0.009216
25582,2016-09-30,0.007830
25582,2016-10-03,-0.003050
25582,2016-10-04,-0.005600
25582,2016-10-05,0.004940
25582,2016-10-06,-0.000753
25582,2016-10-07,-0.003829
25582,2016-10-10,0.005594
25582,2016-10-11,-0.012616
25582,2016-10-12,0.000932
25582,2016-10-13,-0.003327
25582,2016-10-14,-0.000324
25582,2016-10-17,-0.002525
25582,2016-10-18,0.006561
25582,2016-10-19,0.003002
25582,2016-10-20,-0.001641
25582,2016-10-21,-0.000113
25582,2016-10-24,0.004434
25582,2016-10-25,-0.004367
25582,2016-10-26,-0.002777
25582,2016-10-27,-0.003986
25582,2016-10-28,-0.002573
25582,2016-10-31,0.000430
25582,2016-11-01,-0.006771
25582,2016-11-02,-0.007680
25582,2016-11-03,-0.003940
25582,2016-11-04,-0.001240
25582,2016-11-07,0.020927
25582,2016-11-08,0.003884
25582,2016-11-09,0.012048
25582,2016-11-10,0.001979
25582,2016-11-11,0.000261
25582,2016-11-14,0.002384
25582,2016-11-15,0.007902
25582,2016-11-16,-0.001517
25582,2016-11-17,0.004607
25582,2016-11-18,-0.001358
25582,2016-11-21,0.007769
25582,2016-11-22,0.003038
25582,2016-11-23,0.000943
25582,2016-11-25,0.003636
25582,2016-11-28,-0.005935
25582,2016-11-29,0.000960
25582,2016-11-30,-0.001561
25582,2016-12-01,-0.004207
25582,2016-12-02,0.000701
25582,2016-12-05,0.007299
25582,2016-12-06,0.004758
25582,2016-12-07,0.012388
25582,2016-12-08,0.003744
25582,2016-12-09,0.003907
25582,2016-12-12,-0.002453
25582,2016-12-13,0.005763
25582,2016-12-14,-0.009619
25582,2016-12-15,0.003588
25582,2016-12-16,-0.001159
25582,2016-12-19,0.002094
25582,2016-12-20,0.004310
25582,2016-12-21,-0.002494
25582,2016-12-22,-0.002734
25582,2016-12-23,0.001844
25582,2016-12-27,0.002518
25582,2016-12-28,-0.007978
25582,2016-12-29,0.000587
25582,2016-12-30,-0.004036
25582,2017-01-03,0.008205
25582,2017-01-04,0.008618
25582,2017-01-05,-0.000945
25582,2017-01-06,0.002310
25582,2017-01-09,-0.003925
25582,2017-01-10,0.001311
25582,2017-01-11,0.003227
25582,2017-01-12,-0.002536
25582,2017-01-13,0.002819
25582,2017-01-17,-0.003693
25582,2017-01-18,0.001415
25582,2017-01-19,-0.003889
25582,2017-01-20,0.003625
25582,2017-01-23,-0.001921
25582,2017-01-24,0.008375
25582,2017-01-25,0.008078
25582,2017-01-26,-0.001150
25582,2017-01-27,-0.001599
25582,2017-01-30,-0.007057
25582,2017-01-31,0.000839
25582,2017-02-01,0.000282
25582,2017-02-02,0.000599
25582,2017-02-03,0.007801
25582,2017-02-06,-0.002713
25582,2017-02-07,-0.000541
25582,2017-02-08,0.001224
25582,2017-02-09,0.006490
25582,2017-02-10,0.004103
25582,2017-02-13,0.004652
25582,2017-02-14,0.003882
25582,2017-02-15,0.004785
25582,2017-02-16,-0.001251
25582,2017-02-17,0.001900
25582,2017-02-21,0.005811
25582,2017-02-22,-0.001741
25582,2017-02-23,-0.000909
25582,2017-02-24,0.000450
25582,2017-02-27,0.001995
25582,2017-02-28,-0.004647
25582,2017-03-01,0.013366
25582,2017-03-02,-0.006862
25582,2017-03-03,0.000944
25582,2017-03-06,-0.003808
25582,2017-03-07,-0.003455
25582,2017-03-08,-0.003233
25582,2017-03-09,-0.000246
25582,2017-03-10,0.003446
25582,2017-03-13,0.001665
25582,2017-03-14,-0.004180
25582,2017-03-15,0.010125
25582,2017-03-16,-0.000614
25582,2017-03-17,-0.000812
25582,2017-03-20,-0.002332
25582,2017-03-21,-0.013602
25582,2017-03-22,0.001795
